order_id,date,product_name,sku,category,price,quantity,status,return_reason
ORD-10001,2025-02-15,Oversized Cargo Pants,OCP-100,Bottoms,89,1,delivered,
ORD-10002,2025-02-15,Vintage Graphic Tee,VGT-200,Tops,45,1,returned,Wrong Size
ORD-10003,2025-02-16,Oversized Cargo Pants,OCP-100,Bottoms,89,1,returned,Wrong Size
ORD-10004,2025-02-16,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,delivered,
ORD-10005,2025-02-17,Vintage Graphic Tee,VGT-200,Tops,45,2,delivered,
ORD-10006,2025-02-17,Platform Combat Boot,PCB-400,Footwear,142,1,returned,Not Comfortable
ORD-10007,2025-02-18,Oversized Cargo Pants,OCP-100,Bottoms,89,1,returned,Too Long
ORD-10008,2025-02-18,Mesh Layer Tank,MLT-500,Tops,38,1,delivered,
ORD-10009,2025-02-19,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,returned,Not as Described
ORD-10010,2025-02-19,Platform Combat Boot,PCB-400,Footwear,142,1,returned,Wrong Size
ORD-10011,2025-02-20,Vintage Graphic Tee,VGT-200,Tops,45,1,delivered,
ORD-10012,2025-02-20,Oversized Cargo Pants,OCP-100,Bottoms,89,1,delivered,
ORD-10013,2025-02-21,Mesh Layer Tank,MLT-500,Tops,38,1,returned,Quality Issues
ORD-10014,2025-02-22,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,delivered,
ORD-10015,2025-02-22,Platform Combat Boot,PCB-400,Footwear,142,1,returned,Wrong Size
ORD-10016,2025-03-01,Oversized Cargo Pants,OCP-100,Bottoms,89,2,returned,Wrong Size
ORD-10017,2025-03-01,Vintage Graphic Tee,VGT-200,Tops,45,1,delivered,
ORD-10018,2025-03-02,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,delivered,
ORD-10019,2025-03-02,Mesh Layer Tank,MLT-500,Tops,38,1,delivered,
ORD-10020,2025-03-03,Platform Combat Boot,PCB-400,Footwear,142,1,returned,Not Comfortable
ORD-10021,2025-03-03,Oversized Cargo Pants,OCP-100,Bottoms,89,1,delivered,
ORD-10022,2025-03-04,Vintage Graphic Tee,VGT-200,Tops,45,1,returned,Faded After Wash
ORD-10023,2025-03-05,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,returned,Too Puffy
ORD-10024,2025-03-05,Mesh Layer Tank,MLT-500,Tops,38,1,delivered,
ORD-10025,2025-03-06,Platform Combat Boot,PCB-400,Footwear,142,1,delivered,
ORD-10026,2025-03-07,Oversized Cargo Pants,OCP-100,Bottoms,89,1,returned,Wrong Size
ORD-10027,2025-03-08,Vintage Graphic Tee,VGT-200,Tops,45,2,delivered,
ORD-10028,2025-03-08,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,delivered,
ORD-10029,2025-03-09,Platform Combat Boot,PCB-400,Footwear,142,1,returned,Wrong Size
ORD-10030,2025-03-10,Mesh Layer Tank,MLT-500,Tops,38,1,returned,See Through
ORD-10031,2025-03-15,Oversized Cargo Pants,OCP-100,Bottoms,89,1,delivered,
ORD-10032,2025-03-15,Vintage Graphic Tee,VGT-200,Tops,45,1,delivered,
ORD-10033,2025-03-16,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,returned,Not as Described
ORD-10034,2025-03-17,Platform Combat Boot,PCB-400,Footwear,142,1,returned,Not Comfortable
ORD-10035,2025-03-18,Mesh Layer Tank,MLT-500,Tops,38,1,delivered,
ORD-10036,2025-03-20,Oversized Cargo Pants,OCP-100,Bottoms,89,1,returned,Too Long
ORD-10037,2025-03-20,Vintage Graphic Tee,VGT-200,Tops,45,1,returned,Wrong Size
ORD-10038,2025-04-01,Cropped Puffer Jacket,CPJ-300,Outerwear,165,2,delivered,
ORD-10039,2025-04-02,Platform Combat Boot,PCB-400,Footwear,142,1,delivered,
ORD-10040,2025-04-03,Oversized Cargo Pants,OCP-100,Bottoms,89,1,returned,Wrong Size
ORD-10041,2025-04-04,Vintage Graphic Tee,VGT-200,Tops,45,1,delivered,
ORD-10042,2025-04-05,Mesh Layer Tank,MLT-500,Tops,38,1,returned,Quality Issues
ORD-10043,2025-04-06,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,returned,Zipper Broke
ORD-10044,2025-04-07,Platform Combat Boot,PCB-400,Footwear,142,1,returned,Wrong Size
ORD-10045,2025-04-08,Oversized Cargo Pants,OCP-100,Bottoms,89,2,delivered,
ORD-10046,2025-04-10,Vintage Graphic Tee,VGT-200,Tops,45,1,delivered,
ORD-10047,2025-04-12,Mesh Layer Tank,MLT-500,Tops,38,1,delivered,
ORD-10048,2025-04-15,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,delivered,
ORD-10049,2025-04-18,Platform Combat Boot,PCB-400,Footwear,142,1,returned,Not Comfortable
ORD-10050,2025-04-20,Oversized Cargo Pants,OCP-100,Bottoms,89,1,returned,Wrong Size
ORD-10051,2025-05-01,Vintage Graphic Tee,VGT-200,Tops,45,2,delivered,
ORD-10052,2025-05-03,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,delivered,
ORD-10053,2025-05-05,Platform Combat Boot,PCB-400,Footwear,142,1,returned,Wrong Size
ORD-10054,2025-05-07,Oversized Cargo Pants,OCP-100,Bottoms,89,1,delivered,
ORD-10055,2025-05-10,Mesh Layer Tank,MLT-500,Tops,38,1,returned,See Through
ORD-10056,2025-05-12,Vintage Graphic Tee,VGT-200,Tops,45,1,returned,Shrunk After Wash
ORD-10057,2025-05-15,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,returned,Not as Described
ORD-10058,2025-05-18,Platform Combat Boot,PCB-400,Footwear,142,1,delivered,
ORD-10059,2025-05-20,Oversized Cargo Pants,OCP-100,Bottoms,89,1,returned,Too Long
ORD-10060,2025-05-22,Mesh Layer Tank,MLT-500,Tops,38,1,delivered,
ORD-10061,2025-06-01,Vintage Graphic Tee,VGT-200,Tops,45,1,delivered,
ORD-10062,2025-06-03,Cropped Puffer Jacket,CPJ-300,Outerwear,165,1,delivered,
ORD-10063,2025-06-05,Platform Combat Boot,PCB-400,Footwear,142,1,returned,Wrong Size
ORD-10064,2025-06-07,Oversized Cargo Pants,OCP-100,Bottoms,89,2,delivered,
ORD-10065,2025-06-10,Mesh Layer Tank,MLT-500,Tops,38,1,returned,Quality Issues
ORD-10066,2025-06-12,Vintage Graphic Tee,VGT-200,Tops,45,1,returned,Wrong Size
